div_text;label;city;place
للآسف الاسعار زيادة المكان بدا فقدان رونقه;0;الدمام;القرية الشعبية
مكان مهجور والدخول دورة المياه وحده ومره بعيد و ما فيه مكان تصلي والالعاب قيمة التذكرة الوحدة السعر مبالغ ابد يسوى انصح;0;الدمام;القرية الشعبية
بكل المقاييس وكل شي برسوم الدخول للشخص والغرف برسوم غاليه والاكل دمجت اسعار الدخول وسعر الغرفة الطلبات;0;الدمام;القرية الشعبية
سعر مرتفع واكلهم لم يعجبني مجرد رائي;0;الدمام;القرية الشعبية
تدفع دخوليه للشخص الدخول وقبل الطلب شان متحف ارى مناسب صراحه;0;الدمام;القرية الشعبية
المطعم افضل ناحية الاستقبال والخدمة والنظافة والتأخير تجهيز الطلبات المعقول;1;الدمام;القرية الشعبية
 اتمنى عمل عروض يومية للزوار ساعة سواء فلكلور سعودي عرض مسرحي بسيط وضع شاشة تتحدث القيم المفترض توفرها المركبة ساعة مقسمة اجزاء مما سبق;2;الرياض;بوليفارد الرياض
الفرش متسخ قليلا الموظف اللي جاني وجهه بشوش الاستقبال وبعض موظفين سيئين;0;الدمام;القرية الشعبية
المكان المبلغ يستحق المتحف طاوله متر كثير الواحد عنده عائلة اشخاص مره كثير;0;الدمام;القرية الشعبية
احلى اللحظات في البلدة القديمة ??;1;العلا;بلدة العلا القديمة
استغلال عيني عينك انا ادخل المطعم انا العائلة يقول ممنوع الغرف عوائل اقوله انا جاي اهلي يقول معليش عندك طاوله جلسه ارضيه العلم الغرف فاضيه ما فيها كله تحاسب تاكل يسوي الطلب عشان فاضي المطعم;0;الدمام;القرية الشعبية
سي للاسف تعامل سي وطلب الدفع مقدما تقدر تختار الجلسة زي اردت تهان بفلوسك زور القرية الشعبية فعلا تغير مكان مكان سيء;0;الدمام;القرية الشعبية
 لا يوجد كراسي فلا يستطيع الشخص الوقوف فترات طويله رفض المشرف لانزالهم للبهو رقصات البهو منظمه;0;الدمام;القرية الشعبية
نستمتع الفرق الشعبية الشرقاوي متواجدة بالطابق العلوي;1;الدمام;القرية الشعبية
ما عندي استطاعة ادفع عشان اتفرج خرابيط انا جاي اكل ليش يحدون العالم تدفع رسوم يقل زبائنكم فتره وشكرا;0;الدمام;القرية الشعبية
المكان افضل بكثير ??;1;الدمام;القرية الشعبية
 مادي دخول للفرد والجلسة المفترض يوضع بوابه للمتحف ويدفع رسوم الجلسة ليه كنت لازم ازوره مره اجي للشرقية لان تتكرر مادي وفوق الطعم تغير والخدمة المطعم اسوى صاحب المطعم يرجع ويستمع للعملاء يخسر;0;الدمام;القرية الشعبية
للأسف مطعمهم القديم افضل النواحي للمقر الجديد واخر اضافة مبالغ اضافية دخول الشخص دخول والجلسة مجانية اصبحت يعني اشخاص دخول وجلوس بدون مشروب اكل كميات;0;الدمام;القرية الشعبية
احلى شي السوق الشعبي الصغير;1;الدمام;القرية الشعبية
التعامل بلطجي كأنك مطعم بخاري والطعام بارد بايت ;0;الدمام;القرية الشعبية
ننتظر التحفه واخرتها طلعت عاديه;0;الدمام;القرية الشعبية
صراحه مبالغة ليس ادفع فلوس علشان ادخل اكل سلامات يبي يشوف التراث يحطوه جنب ويدفعون الناس;0;الدمام;القرية الشعبية
تعامل سيء جددا ذهبنا للمطعم عائله واخذوا رسوم علينا ودخلوا الاطفال مجانا ولما جلسنا بجلسة طردونا بحجة الاطفال ممنوع علما المطعم يوجد غيرنا وعمر الطفل اشهر;0;الدمام;القرية الشعبية
الاسعار ما تتناسب كمية الاكل وجودة الاكل موب زي وايضا الرسوم الاضافية الغرف الخاصة مبالغ;0;الدمام;القرية الشعبية
المظهر والمكان نظيف;1;الدمام;القرية الشعبية
 يحتاج ناس تعمل قهوه وشاي ;2;الدمام;القرية الشعبية
اتمنى اللي يعملون ترتقي بالمطعم;2;الدمام;القرية الشعبية
بصراحه القرية دخولها الشخص وكذلك الاكل بالنسبة عندي مقبول وكذلك خلصت اكل تلقى القهوة والشاي مجانا الشاي والقهوة طلبها بفلوس;0;الدمام;القرية الشعبية
الدخول بفلوس ما قلنا شيء كونك تتحكم الغرف يأخذونها شخصين يعتبر معلم يفتقر لأسلوب الجذب الضيافة المجانية قهوة وشاهي تعتبر مكلفة المعقول الاستغلال المادي للأمانة لا انصح بزيارته مرة واحدة;0;الدمام;القرية الشعبية
اسعار مبالغ انصح بعدم الزيارة يتم مراجعة الاسعار;0;الدمام;القرية الشعبية
بكل المقاييس وكل شي برسوم الدخول للشخص والغرف برسوم غاليه والاكل دمجت اسعار الدخول وسعر الغرفة الطلبات;0;الدمام;القرية الشعبية
بصراحة الدخول موب عاجني;0;الدمام;القرية الشعبية
احس غلاء بالأسعار وحجز غرف بمبالغ الدخول نتعود عليهم بالمبنى القديم;0;الدمام;القرية الشعبية
الموقع لفت الانتباه الاسعار مرتفعة نوعا;0;الدمام;القرية الشعبية
الدخول للشخص انا معاي ناس ادفع شخص وحنا جاين عشان المطعم الحمدلله اني كلمتهم لاجيهم;0;الدمام;القرية الشعبية
بالنسبة الاشياء ممتازة ?? وشكرا;1;الدمام;القرية الشعبية
الاسف انهم مبالين بالأسعار ارجو الادارة النظر الموضوع ;0;الدمام;القرية الشعبية
للمتحف شيء ممتاز?? الاسعار والاكل الخدمة ممتازة ?? المتحف رائع البيئة والشكل العام مريحة ونظيفة;1;الدمام;القرية الشعبية
الدخول لحاله بفلوس الاكل عادي لسي نجوم ;0;الدمام;القرية الشعبية
جشع الاسعار وفرض رسوم للدخول الاكل;0;الدمام;القرية الشعبية
ما تسوى للشخص مجان وافضل السعر مبالغ;0;الدمام;القرية الشعبية
تذاكر الدخول مالها داعي المطعم اسعاره غاليه الغرف بفلوس ليش الواحد يجي يدفع فلوس بدون اكل والاكل حساب يجب النظر التذاكر واسعار الطعام قليل مستمر كثير منقطع;0;الدمام;القرية الشعبية
يكن ورقة تعريفية بمحتوى المكان رسم كروكي بياني المكان كبير مبلغ ريالا للدخول وجدت انني تائها المكان اعلم اين اتجه;0;الدمام;القرية الشعبية
مبلغ الدخول للشخص وهاذا شي صراحه ولما تبغى غرفه رسوم انا انصح عائله ناوين يتغدون يتعشون يتجنبون هاذا المطعم لأنه مادي بزياده واكله عادي;0;الدمام;القرية الشعبية
اسعار غاليه صحون صغيره وببسي واللبن وعشان الجلسة الأرضية تدفع سلامات;0;الدمام;القرية الشعبية
دخول الشخص مره اسمع مطعم دخوليه يقول عشان المتحف;0;الدمام;القرية الشعبية
 الاكل الشعبي عندهم مميز;1;الدمام;القرية الشعبية
تحتاج تحديث وتطوير يبدو انتقالهم للمقر الجديد جعلهم لا يهتمون بالمقر;2;الدمام;القرية الشعبية
الاسعار غاليه ;0;الدمام;القرية الشعبية
بالنسبة للجودة المتحف رائع اطابق العلوي;1;الدمام;القرية الشعبية
للأسف مفاجأة الدخول برسوم والمدخل يوحي للزائر اشياء تستحق المشاهدة;0;الدمام;القرية الشعبية
اكلة مش وأسعاره يتراوالي اون مبالغ موضوع المتحف الطابق فكرة;0;الدمام;القرية الشعبية
استغلالي لأبعد درجة الدخول الغرف كلها رسوم ما بقى دورة المياه واتوقع مستقبلا رسوم واخر اشخاص الرسوم بدون الاكل لانصح بزيارته ما فيه ما يشد الزيارة;0;الدمام;القرية الشعبية
المطعم مره واحده واخر مره مطاعم الاطباق الشعبية اللذيذة منتشرة الشرقية وهذا راي اللي اعرفهم انا وعائلتي اشخاص ليه ادفع تذاكر قيمة صحون وجبة عشان رسوم دخول عيب الاستغلال المتحف حط باب والعالم تدفع مره ادفعو والله العالم تحسب الريال وانت بتدفعهم قيمة متحف اللوفر مره;0;الدمام;القرية الشعبية
منع جلوس الاطفال بالجلسات الارضية وتعامل الموظف سيء كانه يطرد تكرر ابدا;0;الدمام;القرية الشعبية
ديكور وتصميم روعه;1;الدمام;القرية الشعبية
الاكل يتساهل نجمه وحده للأسف يرتقي للمكان;0;الدمام;القرية الشعبية
مرة اشوف مكان بدخل مطعم يقول الشخص يدفع سلامات وباليت المتحف يعني وخر ودن;0;الدمام;القرية الشعبية
مره رسوم دخول واكل سعره لا انصح;0;الدمام;القرية الشعبية
صحن مقلقل صغير بأكثر والطعم عادي والمكان جلسه ضيقه ماني ليش الغلاء;0;الدمام;القرية الشعبية
سيئة طريقتهم تدفع الدخول والمتحكم صاحب المشروع يفهم اعمال البيزنس فعليه مراجعة قراراته مصالحة العمل التجاري الذي يقوم فيهلو يلغي الكتر العملاء مرتادي المطعم;0;الدمام;القرية الشعبية
مطعم سيء نواحي اهما الدخول برسوم للشخص;0;الدمام;القرية الشعبية
